name,resource,affiliation
Christian Schmidt,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id72instance,Efficient Algorithms
M. Ghiath Khatib,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2075instance,Efficient Algorithms
Daniel Merkle,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,Efficient Algorithms
Michael Stein,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id16instance,Efficient Algorithms
Frederic Toussaint,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id46instance,Efficient Algorithms
Ingeborg Götz,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id24instance,Efficient Algorithms
Andreas Kamper,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2045instance,Efficient Algorithms
Peter Bungert,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2119instance,Efficient Algorithms
Ketut Ngurah Sudharma,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2046instance,Efficient Algorithms
Maheshwar Reddy Sathigari,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2047instance,Efficient Algorithms
Udo Kohlmorgen,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id4instance,Efficient Algorithms
Markus Kohn,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id81instance,Efficient Algorithms
Helge C. Rutz,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id89instance,Efficient Algorithms
Siegfried Handschuh,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id13instance,Knowledge Management
York Sure,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id20instance,Knowledge Management
Michael Erdmann,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id34instance,Knowledge Management
Steffen Staab,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id6instance,Knowledge Management
Christoph Tempich,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id83instance,Knowledge Management
Gerd Stumme,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id8instance,Knowledge Management
Andreas Hotho,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id14instance,Knowledge Management
Peter Haase,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2023instance,Knowledge Management
Stephan Bloehdorn,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2079instance,Knowledge Management
Anupriya Ankolekar,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2123instance,Knowledge Management
Tuvshintur Tserendorj,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2147instance,Knowledge Management
Nenad Stojanovic,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id32instance,Knowledge Management
Raphael Volz,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id40instance,Knowledge Management
Jürgen Angele,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id41instance,Knowledge Management
Rudi Studer,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id57instance,Knowledge Management
Hans-Peter Schnurr,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,Knowledge Management
Marc Ehrig,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id80instance,Knowledge Management
Jorge Gonzalez,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id88instance,Knowledge Management
Max Völkel,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2076instance,Knowledge Management
Heiko Haller,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2115instance,Knowledge Management
Alexander Maedche,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id50instance,Knowledge Management
Julien Tane,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id51instance,Knowledge Management
Pascal Hitzler,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2084instance,Knowledge Management
Denny Vrandecic,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2097instance,Knowledge Management
Christoph Schmitz,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id76instance,Knowledge Management
Lars Schmidt-Thieme,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2040instance,Knowledge Management
Ljiljana Stojanovic,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id53instance,Knowledge Management
Johanna Völker,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2053instance,Knowledge Management
Philipp Cimiano,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id98instance,Knowledge Management
Saartje Brockmans,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2077instance,Knowledge Management
Steffen Lamparter,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2078instance,Knowledge Management
Andreas Eberhart,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2065instance,Knowledge Management
Sudhir Agarwal,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id91instance,Knowledge Management
Jens Hartmann,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id90instance,Knowledge Management
Bernhard Tausch,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2099instance,Knowledge Management
Markus Krötzsch,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2107instance,Knowledge Management
Sebastian Blohm,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2131instance,Knowledge Management
Daniel Oberle,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id79instance,Knowledge Management
Duc Thanh Tran,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2143instance,Knowledge Management
